FID,FID_fine_g,OBJECTID,StreamID,SHAPE_Leng,FID_C2VSim,NodeID,X,Y
152,1,2,2,76851.504394500007000,29124,29125,865409.964131999990000,3939073.003980000000000
153,1,2,2,76851.504394500007000,29212,29213,866267.215845000000000,3939168.254929999800000
154,1,2,2,76851.504394500007000,29213,29214,866959.552614000040000,3939268.687950000200000
155,2,3,3,112720.483972000000000,27076,27077,805610.330669000050000,3939325.504980000200000
156,1,2,2,76851.504394500007000,29041,29042,864806.712932000050000,3939655.088980000000000
157,1,2,2,76851.504394500007000,28876,28877,861795.748448999950000,3939760.921939999800000
158,1,2,2,76851.504394500007000,28878,28879,863765.973730999980000,3940008.235979999900000
159,1,2,2,76851.504394500007000,28959,28960,864318.424802999940000,3940088.669009999800000
160,2,3,3,112720.483972000000000,26959,26960,805530.955437000030000,3940119.256020000200000
161,1,2,2,76851.504394500007000,28877,28878,862603.639137999970000,3940147.935949999800000
162,1,2,2,76851.504394500007000,28792,28793,860187.078752000000000,3940184.256980000100000
163,1,2,2,76851.504394500007000,28791,28792,859361.577055000000000,3940247.757009999800000
164,1,2,2,76851.504394500007000,28793,28794,861086.663776000030000,3940247.757009999800000
165,1,2,2,76851.504394500007000,28699,28700,858726.575710000000000,3940649.923920000000000
166,1,2,2,76851.504394500007000,28603,28604,853466.648536999940000,3940808.674900000000000
167,2,3,3,112720.483972000000000,26960,26961,805259.382315999940000,3940879.490900000100000
168,1,2,2,76851.504394500007000,28605,28606,854383.688793999960000,3940975.272020000000000
169,1,2,2,76851.504394500007000,28602,28603,852572.355033000000000,3941009.757910000200000
170,1,2,2,76851.504394500007000,28515,28516,851609.269848000030000,3941221.424980000100000
171,1,2,2,76851.504394500007000,28606,28607,854792.206298999950000,3941277.955920000100000
172,1,2,2,76851.504394500007000,28608,28609,855858.486748000020000,3941284.925910000200000
173,1,2,2,76851.504394500007000,28611,28612,858313.824861999950000,3941284.925910000200000
174,1,2,2,76851.504394500007000,28609,28610,856662.821595999990000,3941348.425940000000000
175,1,2,2,76851.504394500007000,28607,28608,855014.456795000010000,3941356.272979999900000
176,1,2,2,76851.504394500007000,28610,28611,857488.323292999990000,3941464.842960000000000
177,2,3,3,112720.483972000000000,26961,26962,804962.100140000000000,3941640.613969999800000
178,1,2,2,76851.504394500007000,28513,28514,850189.954902000030000,3941741.492949999900000
179,1,2,2,76851.504394500007000,28514,28515,850857.851735000030000,3941771.759949999900000
180,1,2,2,76851.504394500007000,28419,28420,849323.051989000060000,3941940.454990000000000
181,1,2,2,76851.504394500007000,28418,28419,848598.264276999980000,3942423.645910000000000
182,2,3,3,112720.483972000000000,26962,26963,804723.974700000020000,3942460.824020000200000
183,1,2,2,76851.504394500007000,28417,28418,847926.262483999950000,3942883.011920000000000
184,2,3,3,112720.483972000000000,26963,26964,804578.453547999960000,3943188.429010000100000
185,1,2,2,76851.504394500007000,28416,28417,847047.844050999960000,3943232.262999999800000
186,1,2,2,76851.504394500007000,28325,28326,846518.676306999990000,3943888.430929999800000
187,2,3,3,112720.483972000000000,26964,26965,804478.330795999970000,3943984.648020000200000
188,1,2,2,76851.504394500007000,28326,28327,845883.675090000030000,3944597.514959999800000
189,2,3,3,112720.483972000000000,26965,26966,804408.480556000020000,3944772.048980000000000
190,1,2,2,76851.504394500007000,28232,28233,845243.382098000030000,3945063.182930000100000
191,2,3,3,112720.483972000000000,26846,26847,804097.329963000030000,3945476.900950000200000
192,1,2,2,76851.504394500007000,28146,28147,844684.443472999960000,3945748.706900000100000
193,2,3,3,112720.483972000000000,26729,26730,803798.879403000000000,3946200.802010000200000
194,1,2,2,76851.504394500007000,28145,28146,844022.983889000020000,3946238.186970000200000
195,1,2,2,76851.504394500007000,28144,28145,843285.269328000020000,3946760.089939999900000
196,2,3,3,112720.483972000000000,26730,26731,803436.928683000030000,3946962.803929999900000
197,1,2,2,76851.504394500007000,28143,28144,842498.029007000030000,3947337.400020000100000
198,2,3,3,112720.483972000000000,26628,26629,803125.778090000040000,3947724.804949999800000
199,1,2,2,76851.504394500007000,28142,28143,841815.754190000010000,3947872.722899999900000
200,1,2,2,76851.504394500007000,28051,28052,841112.486221999980000,3948303.080920000100000
201,2,3,3,112720.483972000000000,26734,26735,803201.978155000020000,3948505.856980000200000
202,1,2,2,76851.504394500007000,28050,28051,840556.169677000030000,3948796.418010000100000
203,1,2,2,76851.504394500007000,28049,28050,839863.398349000020000,3949352.734939999900000
204,2,3,3,112720.483972000000000,26735,26736,803255.534251000030000,3949353.232989999900000
205,1,2,2,76851.504394500007000,27960,27961,839223.109580000050000,3949741.106910000100000
206,1,2,2,76851.504394500007000,27868,27869,838467.358923000050000,3950076.995930000200000
207,2,3,3,112720.483972000000000,26632,26633,803107.121065999960000,3950144.299990000200000
208,2,3,3,112720.483972000000000,26631,26632,802519.991210000010000,3950652.339929999800000
209,1,2,2,76851.504394500007000,27772,27773,837900.545995000050000,3950654.304990000100000
210,1,2,2,76851.504394500007000,27770,27771,837071.319626000010000,3950906.221909999800000
211,1,2,2,76851.504394500007000,27671,27672,836473.017034000020000,3951452.041950000000000
212,2,3,3,112720.483972000000000,26531,26532,802313.615658000000000,3951541.341920000000000
213,1,2,2,76851.504394500007000,27558,27559,834184.771911000020000,3951934.882910000200000
214,1,2,2,76851.504394500007000,27561,27562,835853.721289000010000,3952008.359000000200000
215,1,2,2,76851.504394500007000,27560,27561,835045.487944000050000,3952018.855000000000000
216,1,2,2,76851.504394500007000,27447,27448,833306.665031000040000,3952229.597920000100000
217,2,3,3,112720.483972000000000,26532,26533,802599.366313999980000,3952398.594010000100000
218,1,2,2,76851.504394500007000,27446,27447,832585.690054000010000,3952446.130909999800000
219,1,2,2,76851.504394500007000,27332,27333,831950.688837000050000,3952932.964960000000000
220,1,2,2,76851.504394500007000,27331,27332,831125.187140999940000,3953282.215900000200000
221,2,3,3,112720.483972000000000,26533,26534,802662.866346000000000,3953319.344990000100000
222,1,2,2,76851.504394500007000,27224,27225,830532.519363999950000,3953811.383899999800000
223,2,3,3,112720.483972000000000,26534,26535,802678.741546000000000,3954113.096930000000000
224,1,2,2,76851.504394500007000,27097,27098,815599.406134000050000,3954118.301020000100000
225,1,2,2,76851.504394500007000,27096,27097,816382.574390999970000,3954150.050910000200000
226,1,2,2,76851.504394500007000,27100,27101,817208.075960000050000,3954171.218010000000000
227,1,2,2,76851.504394500007000,27209,27210,818012.410935999940000,3954213.550940000000000
228,1,2,2,76851.504394500007000,27102,27103,818784.995896999960000,3954245.300960000100000
229,1,2,2,76851.504394500007000,27103,27104,819599.914170000000000,3954277.050970000200000
230,1,2,2,76851.504394500007000,27104,27105,820383.082427000040000,3954308.802010000200000
231,1,2,2,76851.504394500007000,27098,27099,814964.404916999980000,3954351.134939999800000
232,1,2,2,76851.504394500007000,27212,27213,821150.375611000000000,3954351.134939999800000
233,1,2,2,76851.504394500007000,27106,27107,821954.710459999970000,3954393.467999999900000
234,1,2,2,76851.504394500007000,27108,27109,822801.378876999950000,3954425.218010000000000
235,1,2,2,76851.504394500007000,27223,27224,830013.935044000040000,3954425.218010000000000
236,1,2,2,76851.504394500007000,27109,27110,823669.214014000030000,3954467.551969999900000
237,1,2,2,76851.504394500007000,27110,27111,824473.548862000000000,3954499.301980000000000
238,1,2,2,76851.504394500007000,27216,27217,825267.300542999990000,3954531.052000000100000
239,1,2,2,76851.504394500007000,27217,27218,826082.218816000040000,3954562.802010000200000
240,1,2,2,76851.504394500007000,27218,27219,826854.803649000010000,3954594.551899999800000
241,1,2,2,76851.504394500007000,27219,27220,827595.638464999970000,3954636.885979999800000
242,1,2,2,76851.504394500007000,27221,27222,828479.348545999960000,3954647.469020000200000
243,1,2,2,76851.504394500007000,27222,27223,829273.100226999960000,3954679.218909999800000
244,1,2,2,76851.504394500007000,26981,26982,814456.403892999980000,3954880.302939999800000
245,2,3,3,112720.483972000000000,26537,26538,802710.491433999970000,3954906.848989999900000
246,1,2,2,76851.504394500007000,26980,26981,813900.777781000010000,3955303.636959999800000
247,2,3,3,112720.483972000000000,26536,26537,802337.603497999950000,3955621.628000000000000
248,1,2,2,76851.504394500007000,26861,26862,813286.943155999990000,3955684.637920000100000
249,2,3,3,112720.483972000000000,26430,26431,801710.364457000050000,3956033.975900000000000
250,1,2,2,76851.504394500007000,26748,26749,812577.858355000030000,3956139.721950000200000
251,1,2,2,76851.504394500007000,26746,26747,811879.356979000030000,3956573.639010000000000
252,2,3,3,112720.483972000000000,26431,26432,801138.863401000040000,3956653.101919999800000
253,1,2,2,76851.504394500007000,26745,26746,811170.272306000000000,3957007.556960000200000
254,2,3,3,112720.483972000000000,26328,26329,800599.112231999980000,3957351.602909999900000
255,1,2,2,76851.504394500007000,26643,26644,810514.104241000020000,3957441.474020000100000
256,1,2,2,76851.504394500007000,26332,26333,803201.375275000000000,3957455.797979999800000
257,1,2,2,76851.504394500007000,26330,26331,801143.027240999970000,3957692.805980000200000
258,1,2,2,76851.504394500007000,26644,26645,809921.436465000040000,3957854.224990000000000
259,1,2,2,76851.504394500007000,26435,26436,805264.760492000030000,3957875.391970000200000
260,1,2,2,76851.504394500007000,26436,26437,806026.762028999980000,3957896.558950000000000
261,1,2,2,76851.504394500007000,26437,26438,806746.430125999960000,3957928.308960000100000
262,1,2,2,76851.504394500007000,26438,26439,807561.348399000010000,3957960.058980000200000
263,1,2,2,76851.504394500007000,26439,26440,808333.933230999970000,3957970.642020000100000
264,1,2,2,76851.504394500007000,26329,26330,800329.236776000010000,3957986.604900000200000
265,2,3,3,112720.483972000000000,26329,26330,800329.236776000010000,3957986.604900000200000
266,1,2,2,76851.504394500007000,26545,26546,809138.268207999990000,3958002.391909999800000
267,1,2,2,76851.504394500007000,26331,26332,802223.801257999960000,3958156.594910000000000
268,1,2,2,76851.504394500007000,26333,26334,804384.231852000000000,3958236.819550000100000
269,2,3,3,112720.483972000000000,26225,26226,800170.486440000010000,3958748.605920000000000
270,2,3,3,112720.483972000000000,26226,26227,799805.360679000030000,3959526.482909999800000
271,2,3,3,112720.483972000000000,26120,26121,799471.985063000000000,3960304.359009999800000
272,2,3,3,112720.483972000000000,26010,26011,799138.609446999970000,3961098.110950000100000
273,2,3,3,112720.483972000000000,26011,26012,798614.733349999990000,3961812.487009999800000
274,2,3,3,112720.483972000000000,26013,26014,798090.857254000030000,3962431.613930000000000
275,2,3,3,112720.483972000000000,26014,26015,797625.620261000000000,3962982.178020000000000
276,2,3,3,112720.483972000000000,26015,26016,797497.387941000050000,3963722.466920000000000
277,2,3,3,112720.483972000000000,25907,25908,796727.617829000000000,3964126.831970000200000
278,2,3,3,112720.483972000000000,25809,25810,796630.354339999960000,3964908.119020000100000
279,2,3,3,112720.483972000000000,25810,25811,796566.854307999950000,3965797.119980000000000
280,2,3,3,112720.483972000000000,25703,25704,796519.229219999980000,3966574.996970000200000
281,2,3,3,112720.483972000000000,25704,25705,796535.104164000020000,3967352.872940000100000
282,2,3,3,112720.483972000000000,25596,25597,796487.479076000050000,3968162.499950000100000
283,2,3,3,112720.483972000000000,25597,25598,796493.862563999950000,3968837.346919999900000
284,2,3,3,112720.483972000000000,25707,25708,797412.193444999980000,3969027.598960000100000
285,2,3,3,112720.483972000000000,25818,25819,801772.310697000010000,3969247.452010000100000
286,2,3,3,112720.483972000000000,25708,25709,798264.884901999960000,3969311.828970000100000
287,2,3,3,112720.483972000000000,25817,25818,800922.439847999950000,3969468.156010000000000
288,2,3,3,112720.483972000000000,25710,25711,799984.479143999980000,3969567.636969999900000
289,2,3,3,112720.483972000000000,25709,25710,799160.210854999950000,3969581.847920000100000
290,2,3,3,112720.483972000000000,25819,25820,801760.919721000010000,3969993.981929999800000
291,2,3,3,112720.483972000000000,25713,25714,801789.342632999990000,3970747.192940000000000
292,3,4,4,63969.165897799998000,28454,28455,867405.376357999980000,3971247.010929999900000
293,2,3,3,112720.483972000000000,25714,25715,801785.539880999950000,3971403.810930000200000
294,3,4,4,63969.165897799998000,28453,28454,866678.051429999990000,3971742.233969999900000
295,2,3,3,112720.483972000000000,25715,25716,801790.895017000030000,3972193.223019999900000
296,2,3,3,112720.483972000000000,25716,25717,802336.939434000060000,3972217.706989999900000
297,2,3,3,112720.483972000000000,25823,25824,802905.794729999970000,3972217.706989999900000
298,3,4,4,63969.165897799998000,28362,28363,866152.224996999950000,3972296.482929999900000
299,3,4,4,63969.165897799998000,28361,28362,865299.533539999970000,3972467.020910000000000
300,2,3,3,112720.483972000000000,25824,25825,802897.841577999990000,3973021.036909999800000
301,3,4,4,63969.165897799998000,28266,28267,864461.053668000040000,3973149.175020000000000
302,3,4,4,63969.165897799998000,27699,27700,845949.057106000020000,3973341.985900000200000
303,3,4,4,63969.165897799998000,27700,27701,846694.311251000040000,3973394.468979999900000
304,3,4,4,63969.165897799998000,27701,27702,847502.544467999950000,3973394.468979999900000
305,3,4,4,63969.165897799998000,27593,27594,845235.292626000010000,3973467.944939999800000
306,3,4,4,63969.165897799998000,28180,28181,863778.900579000010000,3973689.212020000000000
307,3,4,4,63969.165897799998000,27703,27704,848300.281301000040000,3973751.351019999900000
308,2,3,3,112720.483972000000000,25719,25720,802798.360874000010000,3973816.881899999900000
309,3,4,4,63969.165897799998000,27592,27593,844553.017681000060000,3973824.826990000000000
310,3,4,4,63969.165897799998000,27590,27591,843744.784335999980000,3973835.324020000200000
311,3,4,4,63969.165897799998000,27704,27705,849056.031828999990000,3973982.274929999800000
312,3,4,4,63969.165897799998000,28179,28180,863043.781089999950000,3974000.649970000100000
313,3,4,4,63969.165897799998000,27583,27584,839813.432013000010000,3974060.042990000000000
314,3,4,4,63969.165897799998000,27584,27585,840623.058637000040000,3974107.667950000100000
315,3,4,4,63969.165897799998000,27705,27706,849832.775637999990000,3974108.233969999900000
316,3,4,4,63969.165897799998000,27473,27474,841385.060046000060000,3974123.542899999800000
317,3,4,4,63969.165897799998000,27587,27588,842178.811727000050000,3974187.042930000000000
318,3,4,4,63969.165897799998000,27475,27476,843051.938383999980000,3974250.542960000200000
319,3,4,4,63969.165897799998000,27006,27007,832134.909764999990000,3974282.193899999800000
320,3,4,4,63969.165897799998000,27242,27243,835241.422792000000000,3974298.167919999900000
321,3,4,4,63969.165897799998000,27353,27354,836003.424328999940000,3974314.042990000000000
322,3,4,4,63969.165897799998000,27352,27353,836797.175882000010000,3974329.917940000100000
323,3,4,4,63969.165897799998000,27129,27130,833657.691590999950000,3974366.614000000100000
324,3,4,4,63969.165897799998000,27468,27469,837654.427595000020000,3974377.542899999800000
325,3,4,4,63969.165897799998000,27581,27582,838464.054346999970000,3974393.417969999800000
326,3,4,4,63969.165897799998000,26884,26885,830859.078084000040000,3974403.700980000200000
327,3,4,4,63969.165897799998000,27582,27583,839257.805900000040000,3974425.167979999900000
328,3,4,4,63969.165897799998000,26771,26772,829006.084547000010000,3974525.208939999800000
329,3,4,4,63969.165897799998000,27803,27804,850497.328343000030000,3974583.918959999900000
