,Target_for_rch_1,Target_for_rch_2,Target_for_rch_3,Target_for_rch_4,Target_for_rch_5,Target_for_rch_6,Target_for_rch_7,Target_for_rch_8,Target_for_rch_9,Target_for_rch_10,Target_for_rch_11,Target_for_rch_12,Target_for_rch_13,Target_for_rch_14,Target_for_rch_15,Target_for_rch_16,Target_for_rch_17,Target_for_rch_18,Target_for_rch_19,Target_for_rch_20,Target_for_rch_21,Target_for_rch_22,Target_for_rch_23,Target_for_rch_24,Target_for_rch_25,Target_for_rch_26,Target_for_rch_27,Target_for_rch_29,Target_for_rch_30,Target_for_rch_31,Target_for_rch_32,Target_for_rch_33,Target_for_rch_34,Target_for_rch_35,Target_for_rch_36,Target_for_rch_37,Target_for_rch_38,NA,NA
106,866,3758,NA,2893,2214,6763,6911,6315,NA,9879,8682,8015,NA,14119,NA,NA,NA,NA,NA,19139,17121,18345,17935,22211,NA,NA,19005,26049,23338,24277,29355,28740,28876,27112,30959,30819,32048,NA,NA
107,695,3769,NA,2614,2282,6536,7020,6217,NA,10309,8692,8146,NA,14122,NA,NA,NA,NA,NA,19227,17449,18450,17546,22823,NA,NA,19102,26358,23346,25613,29357,29107,27863,27398,30868,30820,32262,NA,NA
108,696,3667,NA,2392,2213,6762,6786,5914,NA,10095,8855,8016,NA,14100,NA,NA,NA,NA,NA,19140,17448,18351,17406,23090,NA,NA,19022,25818,23695,25139,29358,29108,28305,27399,31059,31114,32309,NA,NA
109,865,3824,NA,2747,1804,6539,6899,5912,NA,10093,9680,8147,NA,14101,NA,NA,NA,NA,NA,19313,17749,18566,17836,22607,NA,NA,18900,26259,23353,25297,29359,28626,28756,27397,30869,30415,32208,NA,NA
110,700,3843,NA,2958,2212,6538,6568,6408,NA,10196,8849,8019,NA,14099,NA,NA,NA,NA,NA,19228,17216,18568,17841,23088,NA,NA,19106,26159,23470,25136,NA,28851,28075,27251,30185,31113,31893,NA,NA
111,777,3463,NA,2815,2211,6764,6674,6312,NA,10194,8724,8020,NA,14327,NA,NA,NA,NA,NA,19141,17614,18346,17713,23091,NA,NA,19010,25935,23344,24841,NA,28627,27967,26440,30960,31205,31834,NA,NA
112,892,3767,NA,2814,2202,6540,6901,6039,NA,10195,8725,8148,NA,14220,NA,NA,NA,NA,NA,19229,17217,18452,17698,22949,NA,NA,19008,26260,23607,25614,NA,28852,28079,26248,30380,31112,31946,NA,NA
113,789,3530,NA,2886,1857,6646,6787,6036,NA,9994,9681,8018,NA,13827,NA,NA,NA,NA,NA,19049,17320,18454,17706,22608,NA,NA,19007,25551,23355,24988,NA,28628,28190,26344,30777,30125,32356,NA,NA
114,692,3668,NA,2616,1805,6648,6910,6221,NA,9886,8691,NA,NA,14318,NA,NA,NA,NA,NA,19050,17221,18451,17547,23085,NA,NA,19109,26160,23221,25456,NA,28629,28192,27401,30961,31018,32160,NA,NA
115,704,3770,NA,2885,2143,6434,6676,6037,NA,9624,9682,NA,NA,14321,NA,NA,NA,NA,NA,19145,17624,18453,17405,23087,NA,NA,19009,25936,23606,24838,NA,28741,28081,27253,30870,30220,32104,NA,NA
116,867,3464,NA,2818,2140,6647,6461,6040,NA,9882,8684,NA,NA,14120,NA,NA,NA,NA,NA,19232,17464,18352,17832,22824,NA,NA,19023,25691,23608,25615,NA,28630,28767,26754,30873,30316,31997,NA,NA
117,824,3738,NA,2393,2142,6541,6791,5921,NA,10092,8685,NA,NA,13977,NA,NA,NA,NA,NA,18956,17601,18348,17552,22609,NA,NA,19021,25819,23610,25137,NA,28742,28754,27252,30682,30518,32434,NA,NA
118,691,3765,NA,2617,1858,6542,6792,6038,NA,9747,9815,NA,NA,13968,NA,NA,NA,NA,NA,18958,17767,18455,17931,22825,NA,NA,18926,26359,23235,25298,NA,28518,28080,27113,30778,30821,31769,NA,NA
119,630,3756,NA,2545,2131,6436,6569,6223,NA,9752,8686,NA,NA,14096,NA,NA,NA,NA,NA,18592,17600,18268,17852,23086,NA,NA,18921,25100,23507,24582,NA,28519,28082,27255,30779,30126,32211,NA,NA
120,694,3893,NA,2470,2132,6336,6790,6124,NA,9894,8556,NA,NA,14219,NA,NA,NA,NA,NA,18467,17445,18838,17700,23231,NA,NA,18922,26050,23506,24275,NA,29111,28763,26441,30781,30015,32310,NA,NA
121,690,3759,NA,2828,2141,6649,6677,6222,NA,10199,9934,NA,NA,13986,NA,NA,NA,NA,NA,19055,17218,18355,17701,23094,NA,NA,18923,26054,23508,25138,NA,28854,28077,27254,30283,30724,32435,NA,NA
122,689,3768,NA,2546,2003,6437,6906,6126,NA,9995,8687,NA,NA,13825,NA,NA,NA,NA,NA,18367,17616,18265,17845,22714,NA,NA,18920,25553,23384,24843,NA,28520,28076,26345,30483,30720,31833,NA,NA
123,753,3844,NA,2889,1952,6435,6570,6125,NA,10096,9935,NA,NA,13826,NA,NA,NA,NA,NA,18281,17462,18456,17934,23230,NA,NA,18925,24954,23386,25457,NA,29494,28762,26249,30782,30822,32399,NA,NA
124,871,3823,NA,2748,2138,6543,6788,6127,NA,9999,8557,NA,NA,13829,NA,NA,NA,NA,NA,18282,17321,18354,17696,21959,NA,NA,18919,25552,23385,24840,NA,28743,27864,27544,30780,30221,31894,NA,NA
125,626,3763,NA,2819,1859,6439,6679,6129,NA,10000,8558,NA,NA,14325,NA,NA,NA,NA,NA,18201,17447,18839,17842,21413,NA,NA,18928,25820,23248,25140,NA,28521,27968,27119,30585,30620,32311,NA,NA
126,752,3764,NA,2749,2078,6337,6686,6128,NA,9620,8426,NA,NA,14121,NA,NA,NA,NA,NA,18202,17446,18840,17551,23372,NA,NA,18924,25249,23387,25141,NA,28631,28870,26442,30689,30828,32049,NA,NA
127,628,3602,NA,2827,2080,6338,6678,6130,NA,9625,8427,NA,NA,13979,NA,NA,NA,NA,NA,18120,17219,18353,17712,21711,NA,NA,18810,25554,23253,25458,NA,29375,28083,26863,30683,30519,31770,NA,NA
128,621,3845,NA,2753,2067,6339,6687,6028,NA,9891,8289,NA,NA,14097,NA,NA,NA,NA,NA,18203,17474,18717,17847,22826,NA,NA,18918,26051,23114,24703,NA,28406,27866,26346,30284,30824,31947,NA,NA
129,801,3771,NA,2754,2068,6440,6793,5927,NA,9621,8291,NA,NA,13828,NA,NA,NA,NA,NA,18204,17116,18457,17560,21831,NA,NA,18809,26165,23115,25299,NA,28632,28078,27407,29985,30318,31835,NA,NA
130,631,3739,NA,2473,2004,6340,6907,6030,NA,9756,8292,NA,NA,14319,NA,NA,NA,NA,NA,18121,17622,18267,17553,23100,NA,NA,18811,25692,23252,24842,NA,29755,28869,27406,30285,30016,32462,NA,NA
131,623,3815,NA,2619,2079,6244,6463,5829,NA,9767,8152,NA,NA,14322,NA,NA,NA,NA,NA,18122,17615,18716,17715,22212,NA,NA,18930,26360,23388,24371,NA,28407,28765,26250,30687,30723,32105,NA,NA
132,622,3760,NA,2548,1953,6245,6571,6031,NA,9997,7530,NA,NA,13966,NA,NA,NA,NA,NA,18205,17630,18841,17558,22950,NA,NA,18816,25402,23116,24989,NA,28408,28755,26548,30384,30317,32210,NA,NA
133,729,3688,NA,2763,2137,6247,6789,5928,NA,9996,8153,NA,NA,14204,NA,NA,NA,NA,NA,18040,17454,18715,17843,23097,NA,NA,18812,25693,23117,25877,NA,28409,28306,26756,30684,30520,32357,NA,NA
134,802,3467,NA,2689,2077,6341,6798,5935,NA,9896,8026,NA,NA,13988,NA,NA,NA,NA,NA,18123,17461,18458,17709,22957,NA,NA,18815,26055,23119,25460,NA,28522,28084,26871,30286,30127,31998,NA,NA
135,725,3470,NA,2762,1908,6153,6680,5934,NA,9769,8027,NA,NA,13832,NA,NA,NA,NA,NA,18041,17621,18709,17578,22827,NA,NA,18817,25937,23256,25142,NA,28523,27969,26983,30187,30830,32209,NA,NA
136,728,3755,NA,2245,2076,6046,6572,5929,NA,9768,8028,NA,NA,13985,NA,NA,NA,NA,NA,17882,17455,18581,17548,21832,NA,NA,18814,26261,23123,24839,NA,29626,27970,26443,30484,30222,32161,NA,NA
137,727,3695,NA,2474,2005,6050,6685,5936,NA,9753,7893,NA,NA,14098,NA,NA,NA,NA,NA,17885,17322,18582,17702,22717,NA,NA,18691,26052,22982,24473,NA,28524,28085,27408,30093,30416,32263,NA,NA
138,651,3822,NA,2620,2023,6049,6797,5930,NA,9895,7766,NA,NA,14324,NA,NA,NA,NA,NA,17886,17457,18718,17705,22718,NA,NA,18685,24445,22852,25300,NA,29505,28421,26347,30586,30017,31771,NA,NA
139,650,3670,NA,2690,1861,6048,6688,5933,NA,9623,7894,NA,NA,13831,NA,NA,NA,NA,NA,17483,17220,18356,17707,22715,NA,NA,18694,25556,22853,25459,NA,28292,27973,26549,30686,30728,31895,NA,NA
140,652,3816,NA,2549,1954,6051,6794,5931,NA,9772,7895,NA,NA,13833,NA,NA,NA,NA,NA,17781,17458,18578,17844,22833,NA,NA,18689,26053,22854,24707,NA,29878,28646,27410,30485,30722,31773,NA,NA
141,583,3400,NA,2622,1909,6253,6464,5838,NA,9774,7767,NA,NA,13984,NA,NA,NA,NA,NA,17887,17469,18719,17722,22832,NA,NA,18678,25250,22985,25461,NA,28634,27865,26984,30587,30627,32265,NA,NA
142,584,3772,NA,2397,1955,6053,6573,5932,NA,9773,7768,NA,NA,14323,NA,NA,NA,NA,NA,17482,17125,18584,17550,22828,NA,NA,18692,24446,22855,24991,NA,28064,28193,26444,30685,30721,32436,NA,NA
143,576,3696,NA,2623,2074,6254,6795,5837,NA,9771,7649,NA,NA,13837,NA,NA,NA,NA,NA,17484,17473,18580,17717,22719,NA,NA,18950,25403,22857,24844,NA,29767,27974,26865,30188,30621,32050,NA,NA
144,582,3821,NA,2761,2006,6060,6465,5835,NA,9763,7650,NA,NA,13967,NA,NA,NA,NA,NA,17642,17126,18459,17563,22831,NA,NA,18705,25821,22858,24992,NA,29510,27976,26348,30189,30521,32400,NA,NA
145,529,3774,NA,2691,2022,6255,6689,5836,NA,9622,7525,NA,NA,14136,NA,NA,NA,NA,NA,17971,17323,18583,17555,22419,NA,NA,18703,25939,NA,24990,NA,28178,28758,26993,30385,30417,32358,NA,NA
146,528,3740,NA,2550,1956,5964,6796,5743,NA,9998,7526,NA,NA,13962,NA,NA,NA,NA,NA,17782,17325,18460,17860,22611,NA,NA,18572,25938,NA,24583,NA,28412,28761,26766,30486,30223,32312,NA,NA
147,581,3687,NA,2476,2021,5858,6682,5745,NA,9766,7405,NA,NA,13674,NA,NA,NA,NA,NA,17485,17334,18579,17850,23242,NA,NA,18704,25557,NA,25143,NA,29638,27977,26550,29986,29911,31768,NA,NA
148,527,3773,NA,2697,2009,6162,6574,5744,NA,9619,7287,NA,NA,14212,NA,NA,NA,NA,NA,17643,17468,18585,17849,22720,NA,NA,18948,26262,NA,24194,NA,28525,28764,26866,30588,30128,32401,NA,NA
149,481,3817,NA,2553,2075,6063,6693,5747,NA,9626,7179,NA,NA,14320,NA,NA,NA,NA,NA,17888,17459,18189,17710,22615,NA,NA,18831,25695,NA,25301,NA,28065,27971,26445,30190,30626,32212,NA,NA
150,482,3399,NA,NA,1862,5965,6683,5651,NA,9897,7180,NA,NA,13673,NA,NA,NA,NA,NA,17486,17127,18586,17557,23243,NA,NA,18573,25694,NA,25302,NA,28179,27867,26552,30094,30018,32107,NA,NA
151,526,3689,NA,NA,1957,5966,6692,5653,NA,9627,7182,NA,NA,13824,NA,NA,NA,NA,NA,17783,17324,18270,17554,22612,NA,NA,18706,26056,NA,25618,NA,29389,28766,27265,30487,30224,31836,NA,NA
152,473,3754,NA,NA,1701,5960,6691,5652,NA,9754,7080,NA,NA,13965,NA,NA,NA,NA,NA,17889,17333,18192,17851,23244,NA,NA,18711,25940,NA,24709,NA,28746,27972,26349,30287,30319,31772,NA,NA
153,474,3697,NA,NA,1958,5863,6466,5748,NA,9770,7081,NA,NA,13843,NA,NA,NA,NA,NA,17487,17019,18363,17716,22721,NA,NA,18713,25822,NA,25617,NA,29515,28086,26867,30288,30625,32266,NA,NA
154,416,3820,NA,NA,2017,6064,6581,5654,NA,9507,7079,NA,NA,13840,NA,NA,NA,NA,NA,17644,17018,NA,17418,23245,NA,NA,18574,25558,NA,24279,NA,28635,28650,26446,30488,30532,32359,NA,NA
155,475,3775,NA,NA,2016,5868,6575,5564,NA,9504,6966,NA,NA,13838,NA,NA,NA,NA,NA,17351,17020,NA,17703,22613,NA,NA,18707,25404,NA,24993,NA,28066,28194,26551,29880,30622,31948,NA,NA
156,471,3753,NA,NA,1699,5866,6579,5749,NA,9775,6964,NA,NA,13844,NA,NA,NA,NA,NA,17784,17113,NA,17568,22722,NA,NA,18712,25823,NA,24704,NA,28747,27978,26762,30386,30533,31696,NA,NA
157,470,3686,NA,NA,1863,6065,6364,5563,NA,9765,6963,NA,NA,13963,NA,NA,NA,NA,NA,17645,16117,NA,17848,22515,NA,NA,18710,25942,NA,24706,NA,28982,28307,27267,30095,30623,32106,NA,NA
158,469,3776,NA,NA,2018,5967,6467,5565,NA,9506,6967,NA,NA,13677,NA,NA,NA,NA,NA,17785,17226,NA,17723,22516,NA,NA,18575,25941,NA,25303,NA,28860,27868,26995,30489,29912,32164,NA,NA
159,425,3694,NA,NA,1702,5864,6576,5657,NA,9642,6965,NA,NA,13841,NA,NA,NA,NA,NA,17488,17342,NA,17579,22618,NA,NA,18714,25824,NA,24372,NA,NA,28422,27422,30387,30624,31896,NA,NA
160,468,3777,NA,NA,1643,5759,6275,5473,NA,9646,6852,NA,NA,14210,NA,NA,NA,NA,NA,17489,17021,NA,17708,22837,NA,NA,18842,25696,NA,25144,NA,NA,27975,26666,29987,30225,31999,NA,NA
161,426,3819,NA,NA,1758,5968,6482,5658,NA,9505,6853,NA,NA,14213,NA,NA,NA,NA,NA,17646,17330,NA,17704,22966,NA,NA,18708,25560,NA,24708,NA,NA,28310,26660,30289,30531,32163,NA,NA
162,476,3621,NA,NA,1966,5869,6365,5474,NA,9898,NA,NA,NA,13678,NA,NA,NA,NA,NA,17891,17016,NA,17417,22517,NA,NA,18577,26361,NA,25145,NA,NA,28087,26876,30097,30021,32162,NA,NA
163,423,3752,NA,NA,1864,5773,6468,5378,NA,9643,NA,NA,NA,14209,NA,NA,NA,NA,NA,17786,17228,NA,17549,22965,NA,NA,18576,26166,NA,25146,NA,NA,27759,26668,30490,30129,32264,NA,NA
164,422,3628,NA,NA,1812,5760,6578,5574,NA,9764,NA,NA,NA,14207,NA,NA,NA,NA,NA,17647,16234,NA,17570,22619,NA,NA,18843,25825,NA,24845,NA,NA,28088,26555,30096,30530,31774,NA,NA
165,421,3685,NA,NA,1967,5870,6469,5379,NA,9901,NA,NA,NA,13997,NA,NA,NA,NA,NA,17490,16915,NA,17724,22522,NA,NA,NA,25697,NA,25462,NA,NA,28195,26661,30191,30435,32360,NA,NA
166,418,3622,NA,NA,1969,5774,6481,4584,NA,9628,NA,NA,NA,13688,NA,NA,NA,NA,NA,17491,17028,NA,17573,22967,NA,NA,NA,25943,NA,24474,NA,NA,27979,26878,29771,29800,32314,NA,NA
167,419,3702,NA,NA,1968,5585,6577,4503,NA,9776,NA,NA,NA,13515,NA,NA,NA,NA,NA,17787,17017,NA,17569,22968,NA,NA,NA,26167,NA,25881,NA,NA,28423,26769,30388,30320,32051,NA,NA
168,420,3750,NA,NA,1647,5494,6366,4664,NA,9639,NA,NA,NA,14211,NA,NA,NA,NA,NA,17648,16916,NA,17572,22423,NA,NA,NA,25698,NA,24847,NA,NA,27760,26564,30192,30022,31695,NA,NA
169,377,3751,NA,NA,1759,5041,6276,4413,NA,9635,NA,NA,NA,13687,NA,NA,NA,NA,NA,17649,17230,NA,17854,22518,NA,NA,NA,25561,NA,24846,NA,NA,28089,26877,29641,30526,32402,NA,NA
170,370,3620,NA,NA,1703,5122,6470,4585,NA,9509,NA,NA,NA,14090,NA,NA,NA,NA,NA,17151,16893,NA,17731,22324,NA,NA,NA,25562,NA,24848,NA,NA,28308,26662,30390,30528,31697,NA,NA
171,381,3626,NA,NA,1920,4955,6479,4603,NA,9638,NA,NA,NA,13842,NA,NA,NA,NA,NA,17893,17015,NA,17727,22424,NA,NA,NA,25700,NA,25879,NA,NA,27869,26664,29988,30019,32403,NA,NA
172,368,3684,NA,NA,1921,4823,6367,4414,NA,9755,NA,NA,NA,14208,NA,NA,NA,NA,NA,17354,16909,NA,17874,22969,NA,NA,NA,25828,NA,25880,NA,NA,28426,26773,30193,30321,31837,NA,NA
173,371,3747,NA,NA,1922,4822,6183,4587,NA,9633,NA,NA,NA,14000,NA,NA,NA,NA,NA,17650,17231,NA,17571,22842,NA,NA,NA,25699,NA,24705,NA,NA,27870,26563,29881,30535,31698,NA,NA
174,382,3682,NA,NA,1923,5055,6480,4504,NA,9508,NA,NA,NA,13517,NA,NA,NA,NA,NA,17788,17135,NA,17728,22519,NA,NA,NA,25826,NA,25878,NA,NA,28311,26770,30290,30130,32213,NA,NA
175,374,3746,NA,NA,1925,5056,6477,4505,NA,9510,NA,NA,NA,13692,NA,NA,NA,NA,NA,17493,16917,NA,17725,22523,NA,NA,NA,26263,NA,24193,NA,NA,27980,27286,30389,30529,32313,NA,NA
176,375,3683,NA,NA,1704,4977,6471,4415,NA,9647,NA,NA,NA,14087,NA,NA,NA,NA,NA,17894,16910,NA,17745,22841,NA,NA,NA,26057,NA,24588,NA,NA,27872,26565,29989,30419,31949,NA,NA
177,383,3619,NA,NA,1648,4978,6080,4506,NA,9519,NA,NA,NA,13518,NA,NA,NA,NA,NA,17651,17009,NA,17436,22431,NA,NA,NA,25830,NA,24584,NA,NA,28090,26460,30098,30436,31694,NA,NA
178,372,3748,NA,NA,1924,4908,6184,4328,NA,9645,NA,NA,NA,13959,NA,NA,NA,NA,NA,17247,16894,NA,17730,22103,NA,NA,NA,25827,NA,25463,NA,NA,28318,26560,30291,30434,31897,NA,NA
179,369,3678,NA,NA,1919,4836,6277,4604,NA,9634,NA,NA,NA,13521,NA,NA,NA,NA,NA,17789,16918,NA,17740,22425,NA,NA,NA,25563,NA,24710,NA,NA,27981,26775,30194,29913,32165,NA,NA
180,373,3617,NA,NA,1876,4837,6478,4594,NA,9629,NA,NA,NA,13999,NA,NA,NA,NA,NA,17494,16895,NA,17759,22432,NA,NA,NA,25410,NA,24994,NA,NA,27871,26562,30099,30527,32109,NA,NA
181,326,3618,NA,NA,1877,4705,6472,4507,NA,9640,NA,NA,NA,14083,NA,NA,NA,NA,NA,17495,16913,NA,17743,22843,NA,NA,NA,25253,NA,25304,NA,NA,28196,26468,29990,30524,32267,NA,NA
182,333,3679,NA,NA,1878,4706,6474,4416,NA,9899,NA,NA,NA,14084,NA,NA,NA,NA,NA,17652,16896,NA,17732,22219,NA,NA,NA,25831,NA,24195,NA,NA,28540,27288,30100,30226,32110,NA,NA
183,325,3611,NA,NA,1917,4629,6083,4417,NA,9777,NA,NA,NA,13686,NA,NA,NA,NA,NA,17152,16919,NA,17764,22325,NA,NA,NA,25832,NA,24996,NA,NA,28197,26461,29772,30020,31775,NA,NA
184,323,3616,NA,NA,1816,4546,6378,4329,NA,9395,NA,NA,NA,13685,NA,NA,NA,NA,NA,17895,16914,NA,17736,22429,NA,NA,NA,25257,NA,24995,NA,NA,28312,26559,29882,30023,32361,NA,NA
185,336,3612,NA,NA,1879,4547,6185,4591,NA,9644,NA,NA,NA,14085,NA,NA,NA,NA,NA,17653,16805,NA,17733,22427,NA,NA,NA,25566,NA,24590,NA,NA,28432,26566,30292,30429,32000,NA,NA
186,324,3552,NA,NA,1918,4465,6369,4410,NA,9512,NA,NA,NA,13851,NA,NA,NA,NA,NA,17154,17036,NA,17865,22524,NA,NA,NA,25258,NA,25619,NA,NA,28309,26467,30398,30432,32215,NA,NA
187,322,3615,NA,NA,1871,4466,6186,4513,NA,9518,NA,NA,NA,13514,NA,NA,NA,NA,NA,17248,16796,NA,17597,22430,NA,NA,NA,25701,NA,25305,NA,NA,27647,26671,30195,29801,31600,NA,NA
188,281,3496,NA,NA,1763,4286,6475,4418,NA,9520,NA,NA,NA,13955,NA,NA,NA,NA,NA,17979,16911,NA,17744,22433,NA,NA,NA,25944,NA,24587,NA,NA,27873,26673,30101,30430,32214,NA,NA
189,364,3553,NA,NA,1829,4288,6187,4508,NA,9513,NA,NA,NA,13366,NA,NA,NA,NA,NA,17153,16806,NA,17747,22328,NA,NA,NA,26264,NA,25148,NA,NA,28316,26462,29883,30341,31599,NA,NA
190,289,3497,NA,NA,1764,4287,6084,4514,NA,9524,NA,NA,NA,13524,NA,NA,NA,NA,NA,17496,16807,NA,17595,22426,NA,NA,NA,25564,NA,24585,NA,NA,28314,26672,29643,30433,31838,NA,NA
191,279,3433,NA,NA,1707,4197,6374,4330,NA,9632,NA,NA,NA,13850,NA,NA,NA,NA,NA,17790,16912,NA,17613,22428,NA,NA,NA,25262,NA,25464,NA,NA,28201,26469,30701,30322,32362,NA,NA
192,410,NA,NA,NA,1872,4467,5981,4509,NA,9630,NA,NA,NA,13523,NA,NA,NA,NA,NA,17497,16808,NA,17609,22974,NA,NA,NA,26058,NA,24589,NA,NA,27761,26567,29993,30537,32315,NA,NA
193,321,NA,NA,NA,1873,4289,6375,4419,NA,9517,NA,NA,NA,13527,NA,NA,NA,NA,NA,17357,16803,NA,17596,22525,NA,NA,NA,25702,NA,24712,NA,NA,28313,27151,29991,30438,31699,NA,NA
194,280,NA,NA,NA,1767,4291,6377,4331,NA,9631,NA,NA,NA,13526,NA,NA,NA,NA,NA,17155,16666,NA,17748,22846,NA,NA,NA,25411,NA,25752,NA,NA,27874,26570,29773,30420,32440,NA,NA
195,278,NA,NA,NA,1822,4378,5982,4510,NA,9527,NA,NA,NA,13528,NA,NA,NA,NA,NA,17654,16518,NA,17737,22221,NA,NA,NA,25945,NA,24997,NA,NA,28433,27024,30102,30525,32405,NA,NA
196,290,NA,NA,NA,1711,4469,6373,4332,NA,9526,NA,NA,NA,13531,NA,NA,NA,NA,NA,17896,16797,NA,17752,22337,NA,NA,NA,25703,NA,24713,NA,NA,28317,26899,29992,29914,32055,NA,NA
197,362,NA,NA,NA,1768,4204,6372,4430,NA,9516,NA,NA,NA,13532,NA,NA,NA,NA,NA,17791,16804,NA,17612,22224,NA,NA,NA,25565,NA,24475,NA,NA,27762,26678,30301,30323,31898,NA,NA
198,319,NA,NA,NA,1712,4471,6188,4422,NA,9401,NA,NA,NA,13379,NA,NA,NA,NA,NA,17498,16798,NA,17735,22434,NA,NA,NA,25567,NA,24849,NA,NA,28324,26795,30300,30431,32269,NA,NA
199,240,NA,NA,NA,1532,4380,6085,4243,NA,9281,NA,NA,NA,NA,NA,NA,NA,NA,NA,17656,16526,NA,17608,22340,NA,NA,NA,25829,NA,25465,NA,NA,28202,27030,29994,30428,32467,NA,NA
200,277,NA,NA,NA,NA,4379,5984,4431,NA,9651,NA,NA,NA,NA,NA,NA,NA,NA,NA,17897,16667,NA,17734,22330,NA,NA,NA,26168,NA,24103,NA,NA,28200,26796,30103,29917,31776,NA,NA
201,361,NA,NA,NA,NA,4111,6189,4429,NA,9279,NA,NA,NA,NA,NA,NA,NA,NA,NA,17358,16685,NA,17751,22848,NA,NA,NA,25412,NA,25755,NA,NA,28315,26798,30603,30338,32054,NA,NA
202,241,NA,NA,NA,NA,4381,5885,4245,NA,9650,NA,NA,NA,NA,NA,NA,NA,NA,NA,17249,17242,NA,17611,22336,NA,NA,NA,25263,NA,25306,NA,NA,27763,26912,29884,30340,32268,NA,NA
203,276,NA,NA,NA,NA,4472,5884,4423,NA,9529,NA,NA,NA,NA,NA,NA,NA,NA,NA,17655,16799,NA,17738,22331,NA,NA,NA,25708,NA,24850,NA,NA,28323,26913,29644,30437,32216,NA,NA
204,359,NA,NA,NA,NA,4114,6282,4420,NA,9171,NA,NA,NA,NA,NA,NA,NA,NA,NA,17657,16528,NA,17602,22226,NA,NA,NA,25569,NA,25753,NA,NA,27764,27036,30302,30131,32316,NA,NA
205,239,NA,NA,NA,NA,4382,6086,4246,NA,9532,NA,NA,NA,NA,NA,NA,NA,NA,NA,17499,16527,NA,17610,22334,NA,NA,NA,25705,NA,24105,NA,NA,28203,26799,29995,29802,32317,NA,NA
206,316,NA,NA,NA,NA,4021,5985,4421,NA,9169,NA,NA,NA,NA,NA,NA,NA,NA,NA,17792,16670,NA,17605,22244,NA,NA,NA,26169,NA,24711,NA,NA,28097,26801,29885,30427,31839,NA,NA
207,249,NA,NA,NA,NA,4113,6190,4428,NA,10799,NA,NA,NA,NA,NA,NA,NA,NA,NA,17156,16686,NA,17603,22241,NA,NA,NA,25414,NA,24851,NA,NA,27765,27300,29886,30336,31700,NA,NA
208,314,NA,NA,NA,NA,4025,5986,4511,NA,10800,NA,NA,NA,NA,NA,NA,NA,NA,NA,17898,16529,NA,17607,22232,NA,NA,NA,25709,NA,25149,NA,NA,28206,27167,29887,30426,32363,NA,NA
209,315,NA,NA,NA,NA,4383,5886,4244,NA,10797,NA,NA,NA,NA,NA,NA,NA,NA,NA,17500,16687,NA,17606,22112,NA,NA,NA,25568,NA,24586,NA,NA,28205,26690,29774,30025,32468,NA,NA
210,238,NA,NA,NA,NA,4027,6087,4333,NA,10678,NA,NA,NA,NA,NA,NA,NA,NA,NA,17359,16683,NA,17878,22231,NA,NA,NA,25833,NA,24480,NA,NA,28325,27037,29519,30339,32217,NA,NA
211,273,NA,NA,NA,NA,4026,6089,4427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17658,16801,NA,17881,23122,NA,NA,NA,25413,NA,24591,NA,NA,28099,27168,29996,30024,32168,NA,NA
212,237,NA,NA,NA,NA,4301,5791,4343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17793,16930,NA,17777,22229,NA,NA,NA,25570,NA,24196,NA,NA,28098,26914,29888,30227,32003,NA,NA
213,250,NA,NA,NA,NA,3943,5987,4424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17899,16818,NA,NA,22233,NA,NA,NA,25834,NA,24998,NA,NA,27875,27301,29775,30337,32441,NA,NA
214,270,NA,NA,NA,NA,3944,6088,4426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17659,16674,NA,NA,22110,NA,NA,NA,25946,NA,25621,NA,NA,28100,26691,30207,29915,32442,NA,NA
215,199,NA,NA,NA,NA,4302,6192,4335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17360,16530,NA,NA,22230,NA,NA,NA,25572,NA,25307,NA,NA,27985,26387,29394,30342,31777,NA,NA
216,269,NA,NA,NA,NA,4212,6193,4334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17502,16800,NA,NA,22335,NA,NA,NA,25706,NA,24476,NA,NA,28103,27562,29997,30324,32271,NA,NA
217,236,NA,NA,NA,NA,3867,5887,4247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17501,16802,NA,NA,21976,NA,NA,NA,26265,NA,24281,NA,NA,28101,26386,30502,30422,31899,NA,NA
218,272,NA,NA,NA,NA,4031,5792,4425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17794,16684,NA,NA,22111,NA,NA,NA,25571,NA,25150,NA,NA,28102,NA,30208,30425,32408,NA,NA
219,271,NA,NA,NA,NA,4303,6091,4342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17660,16539,NA,NA,22238,NA,NA,NA,26059,NA,25466,NA,NA,28104,NA,29776,30335,32270,NA,NA
220,198,NA,NA,NA,NA,4122,5888,4339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17503,16688,NA,NA,22125,NA,NA,NA,25264,NA,24482,NA,NA,27876,NA,29645,29918,32218,NA,NA
